date,daily_fee,cumulative_fee,cat_crypto,cat_economics,cat_other,cat_perps,cat_politics,cat_sports,cat_weather
2026-05-15,15.85,15.85,0.0,0.0,0.0,0.0,0.0,15.85,0.0
2026-05-16,0.01,15.86,0.0,0.0,0.0,0.0,0.0,0.01,0.0
2026-05-17,37.02,52.88,0.0,0.0,0.0,0.0,0.0,37.02,0.0
2026-05-18,1.01,53.89,0.0,0.0,0.0,0.0,0.0,1.01,0.0
2026-05-19,2.4,56.29,0.0,0.0,2.4,0.0,0.0,0.0,0.0
2026-05-20,8.2,64.49,0.0,0.0,0.0,0.0,0.0,8.2,0.0
2026-05-21,2.73,67.22,0.0,0.0,0.0,0.0,0.0,2.73,0.0
2026-05-22,0.45,67.67,0.0,0.0,0.0,0.0,0.0,0.45,0.0
2026-05-23,10.98,78.65,0.0,0.0,0.0,0.0,0.0,10.98,0.0
2026-05-24,69618.06,69696.71,2557.62,862.7,42810.91,0.0,5420.2,17963.24,3.39
2026-05-25,64470.72,134167.43,1166.86,359.28,40972.09,0.0,7789.1,14183.2,0.19
2026-05-26,57976.3,192143.73,2216.22,553.89,33876.8,0.0,9346.72,11982.68,0.0
2026-05-27,85953.56,278097.29,1883.82,527.76,55575.89,0.0,13104.81,14853.16,8.12
2026-05-28,76191.37,354288.66,3628.87,1303.04,46543.26,0.0,9746.06,14970.13,0.0
2026-05-29,102986.01,457274.67,2648.0,733.97,62130.69,0.0,18784.81,18683.59,4.95
2026-05-30,77160.94,534435.61,1392.55,1258.2,48576.42,0.0,14162.71,11770.53,0.53
2026-05-31,66567.5,601003.11,1264.62,794.3,40142.53,0.0,10907.33,13458.47,0.24
2026-06-01,64570.02,665573.13,5004.53,930.74,37383.59,0.0,8664.31,12586.28,0.58
2026-06-02,163375.58,828948.71,1796.16,1213.56,106352.76,0.0,22985.95,31026.9,0.24
2026-06-03,145947.72,974896.43,6479.72,1039.7,96334.73,0.0,25371.76,16719.71,2.11
2026-06-04,164678.99,1139575.42,3634.47,823.22,115177.27,0.0,26265.0,18777.63,1.41
2026-06-05,111271.12,1250846.54,2803.38,752.68,70878.13,0.0,22001.56,14834.13,1.23
